book_name,public_info,rating_num,comment_num
鲜花圣母,（法）让·热内 / 余中先 / 浙江文艺出版社 / 2006-8 / 20.00,7.5,(490人评价)
C语言教程,"(美)凯利,(美)波尔 / 机械工业出版社 / 2007-1 / 45.00元",8.5,(39人评价)
数据结构、算法与应用,（美）Sartaj Sahni / 汪诗林、孙晓东、等 / 机械工业出版社 / 2000-01 / 49.00,8.0,(56人评价)
扭曲的人性之材,[英] 以赛亚·伯林 / 岳秀坤 / 译林出版社 / 2009-1 / 22.00元,8.6,(375人评价)
人的宗教(修订版),休斯顿·史密斯 / 刘安云 / 海南出版社 / 2006-5 / 26.00,8.5,(474人评价)
大话数据结构,程杰 / 清华大学出版社 / 2011-6 / 59.00元,7.9,(862人评价)
GNU/Linux编程指南(第二版),"Kurt Wall,et al. / 张辉 / 清华大学出版社 / 2002-6-1 / 68.00元",7.4,(52人评价)
深渊里的求告,舍斯托夫 / 山东友谊出版社 / 2005-5 / 28.00元,8.0,(17人评价)
春雨,郑清文、几米 绘 / 詹宏志 / 河北教育出版社 / 2003 / 12.8元,8.4,(175人评价)
我与三联,王世襄 等 / 生活·读书·新知三联书店 / 2008-11 / 39.80元,7.6,(114人评价)
彼年豆蔻，谁许谁地老天荒,朱砂 / 江苏文艺出版社 / 2012-8 / 28.80元,8.1,(59人评价)
C嵌入式编程设计模式,道格拉斯 / 刘旭东 / 2012-4 / 69.00元,6.2,(15人评价)
Win32多线程程序设计,[美] Jim Beveridge、Robert Wiener / 侯捷 / 华中科技大学出版社 / 2002-1 / 59.80元,8.3,(221人评价)
杜拉斯的小音乐,黄荭 / 上海人民出版社 / 2014-10 / 25.00,7.3,(25人评价)
倾诉,厄休拉·勒奎恩 / 姚人杰 / 新星出版社 / 2007-6 / 25.00,7.5,(183人评价)
C语言进阶,牟海军 / 机械工业出版社 / 2012-7 / 59.00元,7.1,(14人评价)
女人，房子，一部小说,(德国)威廉·格纳齐诺 / 刘海宁 / 译林出版社 / 2009年1月 / 15.0,7.6,(518人评价)
程序设计导引及在线实践,李文新、郭炜、余华山 / 清华大学出版社 / 2007年11月 / 26.00元,7.4,(76人评价)
C程序设计伴侣,陈良乔 / 人民邮电出版社 / 2012-10 / 49.00元,5.8,(25人评价)
三世书（上下册）,骄凰 / 敦煌文艺 / 2010-7 / 39.00元,7.2,(25人评价)
藏书的乐趣,[德]乌尔夫·D·冯·卢修斯 / 陈瑛 / 生活·读书·新知三联书店 / 2008-5 / 34.00元,7.4,(323人评价)
Linux网络编程,宋敬彬、孙海滨 / 清华大学出版社 / 2010-1 / 79.00元,6.9,(50人评价)
看不见的大陆,（法）勒克莱齐奥 / 袁筱一 / 人民文学出版社 / 2009-1 / 16.00元,7.8,(702人评价)
